Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Achieved Occupancy,L2 Throughput (L1 Reads)(bytes/sec),Local Memory Overhead(%),L2 Throughput (Texture Reads)(bytes/sec),Global Store Throughput(bytes/sec),Device Memory Write Throughput(bytes/sec),Global Load Throughput(bytes/sec),Device Memory Read Throughput(bytes/sec),Texture Cache Throughput(bytes/sec),Control-Flow Instructions,Global Store Transactions,Bit-Convert Instructions,System Memory Read Transactions,Shared Store Transactions,Misc Instructions,Global Load Transactions,Load/Store Instructions,Local Store Transactions,FP Instructions(Single),Shared Load Transactions,Integer Instructions,Local Load Transactions,FP Instructions(Double),Issue Slot Utilization(%),L2 Throughput (L1 Writes)(bytes/sec),Issued Control-Flow Instructions,L2 Transactions (Atomic requests),System Memory Write Throughput(bytes/sec),L2 Write Transactions (L1 write requests),System Memory Read Throughput(bytes/sec),L2 Transactions (Texture Reads),L2 Throughput (Writes)(bytes/sec),Atomic Throughput(bytes/sec),L2 Throughput (Reads)(bytes/sec),L2 Read Transactions (L1 read requests),Shared Memory Store Throughput(bytes/sec),Shared Memory Load Throughput(bytes/sec),Local Memory Store Throughput(bytes/sec),Local Memory Load Throughput(bytes/sec),L2 Write Transactions,L2 Read Transactions,Device Memory Write Transactions,Device Memory Read Transactions,Texture Cache Transactions,System Memory Write Transactions,Issued Load/Store Instructions,Floating Point Operations(Single Precision Add),Floating Point Operations(Single Precision FMA),Floating Point Operation(Single Precision Mul),Floating Point Operations(Double Precision Add),Floating Point Operations(Double Precison FMA),Floating Point Operations(Double Precision Mul),L1/Shared Memory Utilization,Floating Point Operations(Single Precision Special),Texture Cache Utilization,L2 Cache Utilization,System Memory Utilization,Device Memory Utilization,Load/Store Function Unit Utilization,Atomic Transactions,Arithmetic Function Unit Utilization,Control-Flow Function Unit Utilization,Texture Function Unit Utilization,Inter-Thread Instructions,Instructions Executed,Issue Slots,L2 Throughput (Atomic requests)(bytes/sec),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Instruction Replay Overhead,Shared Memory Replay Overhead,Global Memory Replay Overhead,Local Memory Cache Replay Overhead,Global Memory Cache Replay Overhead,Issued IPC,Instructions per warp,Executed Control-Flow Instructions,FLOP Efficiency(Peak Single)(%),FLOP Efficiency(Peak Double)(%),Executed Load/Store Instructions,Floating Point Operations(Single Precision),Floating Point Operations(Double Precision),Atomic Replay Overhead,Branch Efficiency(%),Executed IPC,Instructions Issued
"conwayThread(char*, char*, int, int)",110194987,211835,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4962356,,3145728,,,26266116,,3932160,,131072,,12602512,,0,51.506,,327697,,,,,,,,,,,,,,,,,,,,134111,0,0,0,0,0,0,,131072,,,,,,,,,,0,1717984,1701805,,60,0,29.295,0.057,0,0.002,0.037,0,2.198,838.859,565226,0,0,130735,0,0,0,84.554,2.08,1815644
"conwayThread(char*, char*, int, int)",110493156,211547,64,1,1,1024,1,1,22,0,0,0.969,,,,,,,,,4961762,,3145728,,,26265524,,3932160,,131072,,12601396,,0,51.64,,327350,,,,,,,,,,,,,,,,,,,,133956,0,0,0,0,0,0,,131072,,,,,,,,,,0,1717222,1701361,,60,0,29.557,0.057,0,0.002,0.037,0,2.204,838.487,564572,0,0,130499,0,0,0,84.623,2.085,1815404
"conwayThread(char*, char*, int, int)",110789085,210651,64,1,1,1024,1,1,22,0,0,0.968,,,,,,,,,4960671,,3145728,,,26264418,,3932160,,131072,,12599310,,0,51.34,,326770,,,,,,,,,,,,,,,,,,,,134136,0,0,0,0,0,0,,131072,,,,,,,,,,0,1716229,1700192,,60,0,29.711,0.057,0,0.002,0.037,0,2.191,838.002,563484,0,0,130808,0,0,0,84.728,2.073,1813773
"conwayThread(char*, char*, int, int)",111083414,210906,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4960468,,3145728,,,26264373,,3932160,,131072,,12599649,,0,51.621,,326116,,,,,,,,,,,,,,,,,,,,134000,0,0,0,0,0,0,,131072,,,,,,,,,,0,1715158,1699505,,60,0,29.907,0.057,0,0.002,0.037,0,2.203,837.479,562240,0,0,130749,0,0,0,84.806,2.084,1813070
"conwayThread(char*, char*, int, int)",111385934,211771,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4959649,,3145728,,,26263492,,3932160,,131072,,12597702,,0,51.58,,326160,,,,,,,,,,,,,,,,,,,,133934,0,0,0,0,0,0,,131072,,,,,,,,,,0,1715067,1699033,,60,0,30.06,0.057,0,0.002,0.037,0,2.201,837.435,562308,0,0,130523,0,0,0,84.819,2.083,1812243
"conwayThread(char*, char*, int, int)",111683015,210939,64,1,1,1024,1,1,22,0,0,0.959,,,,,,,,,4958998,,3145728,,,26262784,,3932160,,131072,,12596730,,0,51.622,,325976,,,,,,,,,,,,,,,,,,,,134214,0,0,0,0,0,0,,131072,,,,,,,,,,0,1714736,1698979,,60,0,30.113,0.057,0,0.002,0.037,0,2.203,837.273,561968,0,0,130937,0,0,0,84.86,2.084,1812531
"conwayThread(char*, char*, int, int)",111979840,211675,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4958735,,3145728,,,26262511,,3932160,,131072,,12596233,,0,51.738,,325617,,,,,,,,,,,,,,,,,,,,133713,0,0,0,0,0,0,,131072,,,,,,,,,,0,1714055,1698709,,60,0,30.296,0.057,0,0.002,0.037,0,2.208,836.941,561298,0,0,130663,0,0,0,84.917,2.088,1812155
"conwayThread(char*, char*, int, int)",112275449,209883,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4957827,,3145728,,,26261613,,3932160,,131072,,12594611,,0,51.368,,325341,,,,,,,,,,,,,,,,,,,,134017,0,0,0,0,0,0,,131072,,,,,,,,,,0,1713440,1697770,,60,0,30.535,0.057,0,0.002,0.037,0,2.191,836.641,560754,0,0,130787,0,0,0,84.983,2.074,1810482
"conwayThread(char*, char*, int, int)",112570834,210139,64,1,1,1024,1,1,22,0,0,0.967,,,,,,,,,4957369,,3145728,,,26261004,,3932160,,131072,,12593624,,0,51.454,,325315,,,,,,,,,,,,,,,,,,,,134016,0,0,0,0,0,0,,131072,,,,,,,,,,0,1713443,1697780,,60,0,30.499,0.057,0,0.002,0.037,0,2.195,836.642,560702,0,0,130724,0,0,0,84.983,2.077,1810699
"conwayThread(char*, char*, int, int)",112892458,211387,64,1,1,1024,1,1,22,0,0,0.966,,,,,,,,,4956905,,3145728,,,26260668,,3932160,,131072,,12593134,,0,51.534,,324812,,,,,,,,,,,,,,,,,,,,133636,0,0,0,0,0,0,,131072,,,,,,,,,,0,1712569,1697469,,60,0,30.668,0.057,0,0.002,0.037,0,2.199,836.215,559760,0,0,130277,0,0,0,85.066,2.08,1810720
